datetime,solarenergy
2/20/2020,20
2/21/2020,18
2/22/2020,20
2/23/2020,20
2/24/2020,20
2/25/2020,20
2/26/2020,21
2/27/2020,21
2/28/2020,20
2/29/2020,19
3/1/2020,20
3/2/2020,21
3/3/2020,21
3/4/2020,21
3/5/2020,23
3/6/2020,23
3/7/2020,23
3/8/2020,23
3/9/2020,23
3/10/2020,21
3/11/2020,24
3/12/2020,24
3/13/2020,23
3/14/2020,23
3/15/2020,15
3/16/2020,21
3/17/2020,23
3/18/2020,23
3/19/2020,23
3/20/2020,24
3/21/2020,22
3/22/2020,18
3/23/2020,18
3/24/2020,20
3/25/2020,23
3/26/2020,9
3/27/2020,25
3/28/2020,25
3/29/2020,25
3/30/2020,25
3/31/2020,25
4/1/2020,25
4/2/2020,25
4/3/2020,21
4/4/2020,25
4/5/2020,25
4/6/2020,25
4/7/2020,24
4/8/2020,24
4/9/2020,25
4/10/2020,25
4/11/2020,24
4/12/2020,27
4/13/2020,19
4/14/2020,15
4/15/2020,26
4/16/2020,12
4/17/2020,26
4/18/2020,26
4/19/2020,25
4/20/2020,24
4/21/2020,26
4/22/2020,22
4/23/2020,22
4/24/2020,26
4/25/2020,22
4/26/2020,27
4/27/2020,27
4/28/2020,27
4/29/2020,26
4/30/2020,27
5/1/2020,27
5/2/2020,25
5/3/2020,26
5/4/2020,26
5/5/2020,27
5/6/2020,28
5/7/2020,29
5/8/2020,27
5/9/2020,28
5/10/2020,27
5/11/2020,25
5/12/2020,26
5/13/2020,27
5/14/2020,28
5/15/2020,27
5/16/2020,27
5/17/2020,22
5/18/2020,28
5/19/2020,29
5/20/2020,28
5/21/2020,26
5/22/2020,26
5/23/2020,27
5/24/2020,27
5/25/2020,28
5/26/2020,28
5/27/2020,27
5/28/2020,27
5/29/2020,25
5/30/2020,23
5/31/2020,25
6/1/2020,27
6/2/2020,26
6/3/2020,24
6/4/2020,25
6/5/2020,27
6/6/2020,24
6/7/2020,28
6/8/2020,26
6/9/2020,25
6/10/2020,25
6/11/2020,24
6/12/2020,27
6/13/2020,27
6/14/2020,28
6/15/2020,28
6/16/2020,29
6/17/2020,27
6/18/2020,25
6/19/2020,27
6/20/2020,29
6/21/2020,29
6/22/2020,29
6/23/2020,28
6/24/2020,28
6/25/2020,25
6/26/2020,17
6/27/2020,19
6/28/2020,25
6/29/2020,24
6/30/2020,22
7/1/2020,17
7/2/2020,18
7/3/2020,25
7/4/2020,27
7/5/2020,15
7/6/2020,12
7/7/2020,19
7/8/2020,19
7/9/2020,28
7/10/2020,17
7/11/2020,21
7/12/2020,21
7/13/2020,25
7/14/2020,26
7/15/2020,25
7/16/2020,15
7/17/2020,23
7/18/2020,24
7/19/2020,27
7/20/2020,22
7/21/2020,14
7/22/2020,25
7/23/2020,26
7/24/2020,25
7/25/2020,18
7/26/2020,18
7/27/2020,25
7/28/2020,22
7/29/2020,25
7/30/2020,24
7/31/2020,18
8/1/2020,21
8/2/2020,16
8/3/2020,25
8/4/2020,26
8/5/2020,25
8/6/2020,12
8/7/2020,15
8/8/2020,24
8/9/2020,23
8/10/2020,24
8/11/2020,15
8/12/2020,13
8/13/2020,17
8/14/2020,17
8/15/2020,13
8/16/2020,21
8/17/2020,16
8/18/2020,15
8/19/2020,17
8/20/2020,21
8/21/2020,14
8/22/2020,19
8/23/2020,14
8/24/2020,18
8/25/2020,18
8/26/2020,24
8/27/2020,12
8/28/2020,7
8/29/2020,22
8/30/2020,13
8/31/2020,13
9/1/2020,25
9/2/2020,24
9/3/2020,23
9/4/2020,18
9/5/2020,20
9/6/2020,25
9/7/2020,25
9/8/2020,25
9/9/2020,25
9/10/2020,25
9/11/2020,25
9/12/2020,24
9/13/2020,21
9/14/2020,17
9/15/2020,16
9/16/2020,14
9/17/2020,17
9/18/2020,21
9/19/2020,22
9/20/2020,21
9/21/2020,24
9/22/2020,24
9/23/2020,22
9/24/2020,24
9/25/2020,23
9/26/2020,24
9/27/2020,23
9/28/2020,23
9/29/2020,22
9/30/2020,19
10/1/2020,21
10/2/2020,22
10/3/2020,22
10/4/2020,22
10/5/2020,23
10/6/2020,23
10/7/2020,23
10/8/2020,22
10/9/2020,22
10/10/2020,22
10/11/2020,22
10/12/2020,21
10/13/2020,22
10/14/2020,21
10/15/2020,20
10/16/2020,20
10/17/2020,17
10/18/2020,17
10/19/2020,16
10/20/2020,21
10/21/2020,22
10/22/2020,21
10/23/2020,21
10/24/2020,21
10/25/2020,20
10/26/2020,19
10/27/2020,19
10/28/2020,20
10/29/2020,19
10/30/2020,18
10/31/2020,18
11/1/2020,17
11/2/2020,18
11/3/2020,20
11/4/2020,20
11/5/2020,19
11/6/2020,18
11/7/2020,18
11/8/2020,18
11/9/2020,17
11/10/2020,17
11/11/2020,17
11/12/2020,13
11/13/2020,14
11/14/2020,15
11/15/2020,15
11/16/2020,17
11/17/2020,14
11/18/2020,16
11/19/2020,15
11/20/2020,17
11/21/2020,17
11/22/2020,16
11/23/2020,16
11/24/2020,12
11/25/2020,13
11/26/2020,16
11/27/2020,16
11/28/2020,17
11/29/2020,17
11/30/2020,17
12/1/2020,16
12/2/2020,15
12/3/2020,16
12/4/2020,16
12/5/2020,14
12/6/2020,14
12/7/2020,14
12/8/2020,14
12/9/2020,12
12/10/2020,13
12/11/2020,13
12/12/2020,16
12/13/2020,17
12/14/2020,16
12/15/2020,16
12/16/2020,16
12/17/2020,16
12/18/2020,16
12/19/2020,16
12/20/2020,14
12/21/2020,13
12/22/2020,15
12/23/2020,15
12/24/2020,15
12/25/2020,15
12/26/2020,15
12/27/2020,16
12/28/2020,16
12/29/2020,16
12/30/2020,15
12/31/2020,16
1/1/2021,15
1/2/2021,15
1/3/2021,15
1/4/2021,14
1/5/2021,14
1/6/2021,16
1/7/2021,16
1/8/2021,17
1/9/2021,16
1/10/2021,17
1/11/2021,18
1/12/2021,18
1/13/2021,18
1/14/2021,15
1/15/2021,16
1/16/2021,15
1/17/2021,17
1/18/2021,15
1/19/2021,15
1/20/2021,16
1/21/2021,17
1/22/2021,17
1/23/2021,17
1/24/2021,18
1/25/2021,18
1/26/2021,18
1/27/2021,18
1/28/2021,18
1/29/2021,18
1/30/2021,19
1/31/2021,18
2/1/2021,16
2/2/2021,17
2/3/2021,18
2/4/2021,18
2/5/2021,18
2/6/2021,19
2/7/2021,19
2/8/2021,19
2/9/2021,17
2/10/2021,19
2/11/2021,15
2/12/2021,19
2/13/2021,19
2/14/2021,19
2/15/2021,18
2/16/2021,19
2/17/2021,20
2/18/2021,20
2/19/2021,21
2/20/2021,21
2/21/2021,21
2/22/2021,21
2/23/2021,21
2/24/2021,21
2/25/2021,20
2/26/2021,20
2/27/2021,20
2/28/2021,22
3/1/2021,23
3/2/2021,23
3/3/2021,23
3/4/2021,22
3/5/2021,22
3/6/2021,23
3/7/2021,21
3/8/2021,23
3/9/2021,23
3/10/2021,24
3/11/2021,23
3/12/2021,21
3/13/2021,21
3/14/2021,21
3/15/2021,21
3/16/2021,22
3/17/2021,22
3/18/2021,20
3/19/2021,22
3/20/2021,22
3/21/2021,16
3/22/2021,20
3/23/2021,23
